date,area_id,area_name,sector,demand_mld,temperature_c,day_of_week,quality_flag
2024-01-01,SOL-DEMO,Solapur Demonstration,domestic,428.0,30.9,0,synthetic
2024-01-02,SOL-DEMO,Solapur Demonstration,domestic,425.0,31.1,1,synthetic
2024-01-03,SOL-DEMO,Solapur Demonstration,domestic,420.8,32.3,2,synthetic
2024-01-04,SOL-DEMO,Solapur Demonstration,domestic,420.6,29.3,3,synthetic
2024-01-05,SOL-DEMO,Solapur Demonstration,domestic,428.2,29.9,4,synthetic
2024-01-06,SOL-DEMO,Solapur Demonstration,domestic,427.7,32.2,5,synthetic
2024-01-07,SOL-DEMO,Solapur Demonstration,domestic,418.9,33.3,6,synthetic
2024-01-08,SOL-DEMO,Solapur Demonstration,domestic,424.6,28.5,0,synthetic
2024-01-09,SOL-DEMO,Solapur Demonstration,domestic,424.0,32.7,1,synthetic
2024-01-10,SOL-DEMO,Solapur Demonstration,domestic,426.4,29.4,2,synthetic
2024-01-11,SOL-DEMO,Solapur Demonstration,domestic,424.3,31.2,3,synthetic
2024-01-12,SOL-DEMO,Solapur Demonstration,domestic,419.3,31.9,4,synthetic
2024-01-13,SOL-DEMO,Solapur Demonstration,domestic,403.7,27.2,5,synthetic
2024-01-14,SOL-DEMO,Solapur Demonstration,domestic,419.8,32.9,6,synthetic
2024-01-15,SOL-DEMO,Solapur Demonstration,domestic,421.5,31.9,0,synthetic
2024-01-16,SOL-DEMO,Solapur Demonstration,domestic,433.1,31.9,1,synthetic
2024-01-17,SOL-DEMO,Solapur Demonstration,domestic,422.4,28.9,2,synthetic
2024-01-18,SOL-DEMO,Solapur Demonstration,domestic,423.6,30.8,3,synthetic
2024-01-19,SOL-DEMO,Solapur Demonstration,domestic,430.8,28.9,4,synthetic
2024-01-20,SOL-DEMO,Solapur Demonstration,domestic,411.8,30.9,5,synthetic
2024-01-21,SOL-DEMO,Solapur Demonstration,domestic,419.8,32.8,6,synthetic
2024-01-22,SOL-DEMO,Solapur Demonstration,domestic,414.7,30.5,0,synthetic
2024-01-23,SOL-DEMO,Solapur Demonstration,domestic,427.1,30.2,1,synthetic
2024-01-24,SOL-DEMO,Solapur Demonstration,domestic,432.3,30.2,2,synthetic
2024-01-25,SOL-DEMO,Solapur Demonstration,domestic,436.9,31.1,3,synthetic
2024-01-26,SOL-DEMO,Solapur Demonstration,domestic,427.8,29.8,4,synthetic
2024-01-27,SOL-DEMO,Solapur Demonstration,domestic,422.3,30.2,5,synthetic
2024-01-28,SOL-DEMO,Solapur Demonstration,domestic,415.1,29.2,6,synthetic
2024-01-29,SOL-DEMO,Solapur Demonstration,domestic,424.6,31.7,0,synthetic
2024-01-30,SOL-DEMO,Solapur Demonstration,domestic,433.8,32.7,1,synthetic
2024-01-31,SOL-DEMO,Solapur Demonstration,domestic,422.6,31.3,2,synthetic
2024-02-01,SOL-DEMO,Solapur Demonstration,domestic,422.7,31.6,3,synthetic
2024-02-02,SOL-DEMO,Solapur Demonstration,domestic,424.4,30.3,4,synthetic
2024-02-03,SOL-DEMO,Solapur Demonstration,domestic,420.4,30.6,5,synthetic
2024-02-04,SOL-DEMO,Solapur Demonstration,domestic,417.1,30.9,6,synthetic
2024-02-05,SOL-DEMO,Solapur Demonstration,domestic,428.0,31.4,0,synthetic
2024-02-06,SOL-DEMO,Solapur Demonstration,domestic,424.8,32.2,1,synthetic
2024-02-07,SOL-DEMO,Solapur Demonstration,domestic,430.7,31.5,2,synthetic
2024-02-08,SOL-DEMO,Solapur Demonstration,domestic,416.0,27.9,3,synthetic
2024-02-09,SOL-DEMO,Solapur Demonstration,domestic,422.2,29.5,4,synthetic
2024-02-10,SOL-DEMO,Solapur Demonstration,domestic,433.7,31.2,5,synthetic
2024-02-11,SOL-DEMO,Solapur Demonstration,domestic,420.2,31.3,6,synthetic
2024-02-12,SOL-DEMO,Solapur Demonstration,domestic,428.0,30.7,0,synthetic
2024-02-13,SOL-DEMO,Solapur Demonstration,domestic,423.7,30.2,1,synthetic
2024-02-14,SOL-DEMO,Solapur Demonstration,domestic,428.4,29.8,2,synthetic
2024-02-15,SOL-DEMO,Solapur Demonstration,domestic,432.9,31.9,3,synthetic
2024-02-16,SOL-DEMO,Solapur Demonstration,domestic,425.4,29.3,4,synthetic
2024-02-17,SOL-DEMO,Solapur Demonstration,domestic,413.1,30.3,5,synthetic
2024-02-18,SOL-DEMO,Solapur Demonstration,domestic,420.4,31.6,6,synthetic
2024-02-19,SOL-DEMO,Solapur Demonstration,domestic,421.6,29.4,0,synthetic
2024-02-20,SOL-DEMO,Solapur Demonstration,domestic,417.4,32.6,1,synthetic
2024-02-21,SOL-DEMO,Solapur Demonstration,domestic,429.7,31.9,2,synthetic
2024-02-22,SOL-DEMO,Solapur Demonstration,domestic,416.5,29.5,3,synthetic
2024-02-23,SOL-DEMO,Solapur Demonstration,domestic,428.8,28.4,4,synthetic
2024-02-24,SOL-DEMO,Solapur Demonstration,domestic,416.8,30.6,5,synthetic
2024-02-25,SOL-DEMO,Solapur Demonstration,domestic,408.9,29.7,6,synthetic
2024-02-26,SOL-DEMO,Solapur Demonstration,domestic,420.9,32.2,0,synthetic
2024-02-27,SOL-DEMO,Solapur Demonstration,domestic,424.2,29.0,1,synthetic
2024-02-28,SOL-DEMO,Solapur Demonstration,domestic,420.1,31.7,2,synthetic
2024-02-29,SOL-DEMO,Solapur Demonstration,domestic,419.1,30.7,3,synthetic
2024-03-01,SOL-DEMO,Solapur Demonstration,domestic,419.1,32.5,4,synthetic
2024-03-02,SOL-DEMO,Solapur Demonstration,domestic,426.3,32.8,5,synthetic
2024-03-03,SOL-DEMO,Solapur Demonstration,domestic,418.6,29.7,6,synthetic
2024-03-04,SOL-DEMO,Solapur Demonstration,domestic,422.0,31.3,0,synthetic
2024-03-05,SOL-DEMO,Solapur Demonstration,domestic,426.8,29.0,1,synthetic
2024-03-06,SOL-DEMO,Solapur Demonstration,domestic,431.9,31.9,2,synthetic
2024-03-07,SOL-DEMO,Solapur Demonstration,domestic,415.8,28.6,3,synthetic
2024-03-08,SOL-DEMO,Solapur Demonstration,domestic,432.3,30.7,4,synthetic
2024-03-09,SOL-DEMO,Solapur Demonstration,domestic,423.2,31.6,5,synthetic
2024-03-10,SOL-DEMO,Solapur Demonstration,domestic,411.0,32.7,6,synthetic
2024-03-11,SOL-DEMO,Solapur Demonstration,domestic,418.6,30.4,0,synthetic
2024-03-12,SOL-DEMO,Solapur Demonstration,domestic,423.2,28.7,1,synthetic
2024-03-13,SOL-DEMO,Solapur Demonstration,domestic,423.6,30.3,2,synthetic
2024-03-14,SOL-DEMO,Solapur Demonstration,domestic,428.4,30.5,3,synthetic
2024-03-15,SOL-DEMO,Solapur Demonstration,domestic,435.0,31.1,4,synthetic
2024-03-16,SOL-DEMO,Solapur Demonstration,domestic,425.3,31.6,5,synthetic
2024-03-17,SOL-DEMO,Solapur Demonstration,domestic,411.8,32.0,6,synthetic
2024-03-18,SOL-DEMO,Solapur Demonstration,domestic,424.6,30.1,0,synthetic
2024-03-19,SOL-DEMO,Solapur Demonstration,domestic,417.0,30.2,1,synthetic
2024-03-20,SOL-DEMO,Solapur Demonstration,domestic,423.2,31.9,2,synthetic
2024-03-21,SOL-DEMO,Solapur Demonstration,domestic,433.1,31.3,3,synthetic
2024-03-22,SOL-DEMO,Solapur Demonstration,domestic,430.2,31.8,4,synthetic
2024-03-23,SOL-DEMO,Solapur Demonstration,domestic,410.6,29.8,5,synthetic
2024-03-24,SOL-DEMO,Solapur Demonstration,domestic,422.2,29.7,6,synthetic
2024-03-25,SOL-DEMO,Solapur Demonstration,domestic,423.0,30.8,0,synthetic
2024-03-26,SOL-DEMO,Solapur Demonstration,domestic,417.6,28.2,1,synthetic
2024-03-27,SOL-DEMO,Solapur Demonstration,domestic,422.8,28.8,2,synthetic
2024-03-28,SOL-DEMO,Solapur Demonstration,domestic,423.5,29.1,3,synthetic
2024-03-29,SOL-DEMO,Solapur Demonstration,domestic,428.6,31.2,4,synthetic
2024-03-30,SOL-DEMO,Solapur Demonstration,domestic,410.0,30.0,5,synthetic
2024-03-31,SOL-DEMO,Solapur Demonstration,domestic,417.9,29.5,6,synthetic
2024-04-01,SOL-DEMO,Solapur Demonstration,domestic,413.7,31.9,0,synthetic
2024-04-02,SOL-DEMO,Solapur Demonstration,domestic,427.6,30.5,1,synthetic
2024-04-03,SOL-DEMO,Solapur Demonstration,domestic,423.8,30.1,2,synthetic
2024-04-04,SOL-DEMO,Solapur Demonstration,domestic,422.8,32.3,3,synthetic
2024-04-05,SOL-DEMO,Solapur Demonstration,domestic,428.5,30.7,4,synthetic
2024-04-06,SOL-DEMO,Solapur Demonstration,domestic,424.9,30.7,5,synthetic
2024-04-07,SOL-DEMO,Solapur Demonstration,domestic,409.1,30.0,6,synthetic
2024-04-08,SOL-DEMO,Solapur Demonstration,domestic,433.5,31.6,0,synthetic
2024-04-09,SOL-DEMO,Solapur Demonstration,domestic,429.9,31.2,1,synthetic
2024-04-10,SOL-DEMO,Solapur Demonstration,domestic,430.6,32.0,2,synthetic
2024-04-11,SOL-DEMO,Solapur Demonstration,domestic,425.9,29.7,3,synthetic
2024-04-12,SOL-DEMO,Solapur Demonstration,domestic,428.9,30.9,4,synthetic
2024-04-13,SOL-DEMO,Solapur Demonstration,domestic,415.9,30.1,5,synthetic
2024-04-14,SOL-DEMO,Solapur Demonstration,domestic,414.5,29.1,6,synthetic
2024-04-15,SOL-DEMO,Solapur Demonstration,domestic,431.9,29.9,0,synthetic
2024-04-16,SOL-DEMO,Solapur Demonstration,domestic,410.6,29.7,1,synthetic
2024-04-17,SOL-DEMO,Solapur Demonstration,domestic,426.1,30.1,2,synthetic
2024-04-18,SOL-DEMO,Solapur Demonstration,domestic,423.9,29.6,3,synthetic
2024-04-19,SOL-DEMO,Solapur Demonstration,domestic,419.4,30.2,4,synthetic
2024-04-20,SOL-DEMO,Solapur Demonstration,domestic,427.8,29.9,5,synthetic
2024-04-21,SOL-DEMO,Solapur Demonstration,domestic,421.7,30.4,6,synthetic
2024-04-22,SOL-DEMO,Solapur Demonstration,domestic,420.1,30.6,0,synthetic
2024-04-23,SOL-DEMO,Solapur Demonstration,domestic,422.6,30.1,1,synthetic
2024-04-24,SOL-DEMO,Solapur Demonstration,domestic,415.0,30.7,2,synthetic
2024-04-25,SOL-DEMO,Solapur Demonstration,domestic,432.5,31.1,3,synthetic
2024-04-26,SOL-DEMO,Solapur Demonstration,domestic,430.1,30.4,4,synthetic
2024-04-27,SOL-DEMO,Solapur Demonstration,domestic,420.0,30.6,5,synthetic
2024-04-28,SOL-DEMO,Solapur Demonstration,domestic,414.1,29.8,6,synthetic
2024-04-29,SOL-DEMO,Solapur Demonstration,domestic,434.1,31.5,0,synthetic
2024-04-30,SOL-DEMO,Solapur Demonstration,domestic,426.4,31.1,1,synthetic
2024-05-01,SOL-DEMO,Solapur Demonstration,domestic,419.2,31.4,2,synthetic
2024-05-02,SOL-DEMO,Solapur Demonstration,domestic,422.1,29.8,3,synthetic
2024-05-03,SOL-DEMO,Solapur Demonstration,domestic,433.4,29.4,4,synthetic
2024-05-04,SOL-DEMO,Solapur Demonstration,domestic,415.6,29.8,5,synthetic
2024-05-05,SOL-DEMO,Solapur Demonstration,domestic,412.4,32.9,6,synthetic
2024-05-06,SOL-DEMO,Solapur Demonstration,domestic,420.1,29.4,0,synthetic
2024-05-07,SOL-DEMO,Solapur Demonstration,domestic,422.9,31.6,1,synthetic
2024-05-08,SOL-DEMO,Solapur Demonstration,domestic,424.6,32.5,2,synthetic
2024-05-09,SOL-DEMO,Solapur Demonstration,domestic,421.2,31.4,3,synthetic
2024-05-10,SOL-DEMO,Solapur Demonstration,domestic,434.6,31.7,4,synthetic
2024-05-11,SOL-DEMO,Solapur Demonstration,domestic,423.5,30.7,5,synthetic
2024-05-12,SOL-DEMO,Solapur Demonstration,domestic,418.2,29.3,6,synthetic
2024-05-13,SOL-DEMO,Solapur Demonstration,domestic,433.2,32.2,0,synthetic
2024-05-14,SOL-DEMO,Solapur Demonstration,domestic,424.6,30.3,1,synthetic
2024-05-15,SOL-DEMO,Solapur Demonstration,domestic,427.6,30.2,2,synthetic
2024-05-16,SOL-DEMO,Solapur Demonstration,domestic,423.0,28.6,3,synthetic
2024-05-17,SOL-DEMO,Solapur Demonstration,domestic,427.5,30.6,4,synthetic
2024-05-18,SOL-DEMO,Solapur Demonstration,domestic,416.2,30.7,5,synthetic
2024-05-19,SOL-DEMO,Solapur Demonstration,domestic,416.4,30.8,6,synthetic
2024-05-20,SOL-DEMO,Solapur Demonstration,domestic,420.1,29.5,0,synthetic
2024-05-21,SOL-DEMO,Solapur Demonstration,domestic,424.7,30.5,1,synthetic
2024-05-22,SOL-DEMO,Solapur Demonstration,domestic,435.4,30.2,2,synthetic
2024-05-23,SOL-DEMO,Solapur Demonstration,domestic,423.6,30.6,3,synthetic
2024-05-24,SOL-DEMO,Solapur Demonstration,domestic,429.6,31.6,4,synthetic
2024-05-25,SOL-DEMO,Solapur Demonstration,domestic,424.9,31.3,5,synthetic
2024-05-26,SOL-DEMO,Solapur Demonstration,domestic,421.3,28.0,6,synthetic
2024-05-27,SOL-DEMO,Solapur Demonstration,domestic,426.8,29.7,0,synthetic
