date,reservoir_id,reservoir_name,storage_pct,capacity_mcm,inflow_mcm,outflow_mcm,quality_flag
2024-01-01,UJANI-DEMO-001,Ujani Demonstration,66.1,100.0,20.73,11.27,synthetic
2024-01-02,UJANI-DEMO-001,Ujani Demonstration,63.3,100.0,0,12.47,synthetic
2024-01-03,UJANI-DEMO-001,Ujani Demonstration,61.8,100.0,7.1,14.12,synthetic
2024-01-04,UJANI-DEMO-001,Ujani Demonstration,59.8,100.0,4.21,13.22,synthetic
2024-01-05,UJANI-DEMO-001,Ujani Demonstration,57.6,100.0,3.11,13.08,synthetic
2024-01-06,UJANI-DEMO-001,Ujani Demonstration,58.0,100.0,14.22,12.53,synthetic
2024-01-07,UJANI-DEMO-001,Ujani Demonstration,58.7,100.0,15.4,12.08,synthetic
2024-01-08,UJANI-DEMO-001,Ujani Demonstration,56.3,100.0,1.99,12.82,synthetic
2024-01-09,UJANI-DEMO-001,Ujani Demonstration,55.7,100.0,9.79,12.54,synthetic
2024-01-10,UJANI-DEMO-001,Ujani Demonstration,55.7,100.0,12.32,12.58,synthetic
2024-01-11,UJANI-DEMO-001,Ujani Demonstration,57.8,100.0,22.01,12.38,synthetic
2024-01-12,UJANI-DEMO-001,Ujani Demonstration,56.0,100.0,4.58,12.52,synthetic
2024-01-13,UJANI-DEMO-001,Ujani Demonstration,53.9,100.0,2.11,11.9,synthetic
2024-01-14,UJANI-DEMO-001,Ujani Demonstration,54.3,100.0,14.45,12.48,synthetic
2024-01-15,UJANI-DEMO-001,Ujani Demonstration,53.4,100.0,7.69,12.07,synthetic
2024-01-16,UJANI-DEMO-001,Ujani Demonstration,51.8,100.0,4.8,11.96,synthetic
2024-01-17,UJANI-DEMO-001,Ujani Demonstration,50.5,100.0,5.35,11.19,synthetic
2024-01-18,UJANI-DEMO-001,Ujani Demonstration,52.6,100.0,20.42,11.1,synthetic
2024-01-19,UJANI-DEMO-001,Ujani Demonstration,50.4,100.0,1.17,10.97,synthetic
2024-01-20,UJANI-DEMO-001,Ujani Demonstration,48.2,100.0,0.92,10.93,synthetic
2024-01-21,UJANI-DEMO-001,Ujani Demonstration,45.6,100.0,1.44,13.06,synthetic
2024-01-22,UJANI-DEMO-001,Ujani Demonstration,47.8,100.0,21.43,11.72,synthetic
2024-01-23,UJANI-DEMO-001,Ujani Demonstration,47.8,100.0,13.0,12.97,synthetic
2024-01-24,UJANI-DEMO-001,Ujani Demonstration,48.7,100.0,16.73,12.54,synthetic
2024-01-25,UJANI-DEMO-001,Ujani Demonstration,47.6,100.0,8.55,13.48,synthetic
2024-01-26,UJANI-DEMO-001,Ujani Demonstration,50.5,100.0,24.46,11.49,synthetic
2024-01-27,UJANI-DEMO-001,Ujani Demonstration,51.2,100.0,15.93,12.62,synthetic
2024-01-28,UJANI-DEMO-001,Ujani Demonstration,49.4,100.0,2.86,11.13,synthetic
2024-01-29,UJANI-DEMO-001,Ujani Demonstration,48.8,100.0,9.29,12.1,synthetic
2024-01-30,UJANI-DEMO-001,Ujani Demonstration,49.6,100.0,15.14,11.35,synthetic
2024-01-31,UJANI-DEMO-001,Ujani Demonstration,47.5,100.0,3.1,12.78,synthetic
2024-02-01,UJANI-DEMO-001,Ujani Demonstration,50.6,100.0,26.2,11.8,synthetic
2024-02-02,UJANI-DEMO-001,Ujani Demonstration,50.3,100.0,9.83,11.48,synthetic
2024-02-03,UJANI-DEMO-001,Ujani Demonstration,49.0,100.0,6.37,12.31,synthetic
2024-02-04,UJANI-DEMO-001,Ujani Demonstration,46.7,100.0,1.47,11.92,synthetic
2024-02-05,UJANI-DEMO-001,Ujani Demonstration,44.9,100.0,5.27,13.22,synthetic
2024-02-06,UJANI-DEMO-001,Ujani Demonstration,45.4,100.0,13.84,11.54,synthetic
2024-02-07,UJANI-DEMO-001,Ujani Demonstration,45.1,100.0,9.6,11.09,synthetic
2024-02-08,UJANI-DEMO-001,Ujani Demonstration,43.5,100.0,4.6,11.83,synthetic
2024-02-09,UJANI-DEMO-001,Ujani Demonstration,40.9,100.0,0.05,12.04,synthetic
2024-02-10,UJANI-DEMO-001,Ujani Demonstration,41.1,100.0,12.58,11.53,synthetic
2024-02-11,UJANI-DEMO-001,Ujani Demonstration,39.4,100.0,3.85,11.45,synthetic
2024-02-12,UJANI-DEMO-001,Ujani Demonstration,39.0,100.0,8.99,11.11,synthetic
2024-02-13,UJANI-DEMO-001,Ujani Demonstration,36.5,100.0,0,11.08,synthetic
2024-02-14,UJANI-DEMO-001,Ujani Demonstration,34.3,100.0,1.84,12.0,synthetic
2024-02-15,UJANI-DEMO-001,Ujani Demonstration,35.4,100.0,17.04,12.2,synthetic
2024-02-16,UJANI-DEMO-001,Ujani Demonstration,33.2,100.0,1.17,11.06,synthetic
2024-02-17,UJANI-DEMO-001,Ujani Demonstration,30.9,100.0,2.67,13.24,synthetic
2024-02-18,UJANI-DEMO-001,Ujani Demonstration,30.1,100.0,9.35,12.84,synthetic
2024-02-19,UJANI-DEMO-001,Ujani Demonstration,29.5,100.0,8.48,11.33,synthetic
2024-02-20,UJANI-DEMO-001,Ujani Demonstration,29.0,100.0,11.11,13.28,synthetic
2024-02-21,UJANI-DEMO-001,Ujani Demonstration,26.8,100.0,2.62,12.39,synthetic
2024-02-22,UJANI-DEMO-001,Ujani Demonstration,29.5,100.0,24.04,12.09,synthetic
2024-02-23,UJANI-DEMO-001,Ujani Demonstration,29.6,100.0,12.37,11.79,synthetic
2024-02-24,UJANI-DEMO-001,Ujani Demonstration,28.7,100.0,7.62,11.45,synthetic
2024-02-25,UJANI-DEMO-001,Ujani Demonstration,26.2,100.0,0.89,12.24,synthetic
2024-02-26,UJANI-DEMO-001,Ujani Demonstration,24.9,100.0,6.82,12.98,synthetic
2024-02-27,UJANI-DEMO-001,Ujani Demonstration,24,100.0,4.45,12.83,synthetic
2024-02-28,UJANI-DEMO-001,Ujani Demonstration,24,100.0,3.39,12.61,synthetic
2024-02-29,UJANI-DEMO-001,Ujani Demonstration,24,100.0,0.22,12.33,synthetic
2024-03-01,UJANI-DEMO-001,Ujani Demonstration,28.7,100.0,32.2,10.96,synthetic
2024-03-02,UJANI-DEMO-001,Ujani Demonstration,28.2,100.0,9.47,11.56,synthetic
