date,station_id,location,rainfall_mm,temperature_c,humidity_pct,quality_flag
2024-01-01,SOL-DEMO-001,Solapur Demonstration,9.3,30.9,46,synthetic
2024-01-02,SOL-DEMO-001,Solapur Demonstration,0,31.1,57,synthetic
2024-01-03,SOL-DEMO-001,Solapur Demonstration,2.6,32.3,45,synthetic
2024-01-04,SOL-DEMO-001,Solapur Demonstration,1.0,29.3,37,synthetic
2024-01-05,SOL-DEMO-001,Solapur Demonstration,0,29.9,49,synthetic
2024-01-06,SOL-DEMO-001,Solapur Demonstration,5.6,32.2,46,synthetic
2024-01-07,SOL-DEMO-001,Solapur Demonstration,5.8,33.3,49,synthetic
2024-01-08,SOL-DEMO-001,Solapur Demonstration,0,28.5,38,synthetic
2024-01-09,SOL-DEMO-001,Solapur Demonstration,2.7,32.7,40,synthetic
2024-01-10,SOL-DEMO-001,Solapur Demonstration,4.4,29.4,44,synthetic
2024-01-11,SOL-DEMO-001,Solapur Demonstration,8.4,31.2,54,synthetic
2024-01-12,SOL-DEMO-001,Solapur Demonstration,1.1,31.9,33,synthetic
2024-01-13,SOL-DEMO-001,Solapur Demonstration,0,27.2,45,synthetic
2024-01-14,SOL-DEMO-001,Solapur Demonstration,8.2,32.9,47,synthetic
2024-01-15,SOL-DEMO-001,Solapur Demonstration,2.8,31.9,48,synthetic
2024-01-16,SOL-DEMO-001,Solapur Demonstration,2.7,31.9,34,synthetic
2024-01-17,SOL-DEMO-001,Solapur Demonstration,0,28.9,54,synthetic
2024-01-18,SOL-DEMO-001,Solapur Demonstration,10.0,30.8,50,synthetic
2024-01-19,SOL-DEMO-001,Solapur Demonstration,0.4,28.9,55,synthetic
2024-01-20,SOL-DEMO-001,Solapur Demonstration,0,30.9,47,synthetic
2024-01-21,SOL-DEMO-001,Solapur Demonstration,0,32.8,52,synthetic
2024-01-22,SOL-DEMO-001,Solapur Demonstration,9.7,30.5,52,synthetic
2024-01-23,SOL-DEMO-001,Solapur Demonstration,3.6,30.2,43,synthetic
2024-01-24,SOL-DEMO-001,Solapur Demonstration,6.1,30.2,37,synthetic
2024-01-25,SOL-DEMO-001,Solapur Demonstration,4.5,31.1,53,synthetic
2024-01-26,SOL-DEMO-001,Solapur Demonstration,11.6,29.8,52,synthetic
2024-01-27,SOL-DEMO-001,Solapur Demonstration,6.4,30.2,54,synthetic
2024-01-28,SOL-DEMO-001,Solapur Demonstration,0,29.2,46,synthetic
2024-01-29,SOL-DEMO-001,Solapur Demonstration,4.1,31.7,42,synthetic
2024-01-30,SOL-DEMO-001,Solapur Demonstration,6.1,32.7,49,synthetic
2024-01-31,SOL-DEMO-001,Solapur Demonstration,0,31.3,47,synthetic
2024-02-01,SOL-DEMO-001,Solapur Demonstration,11.4,31.6,53,synthetic
2024-02-02,SOL-DEMO-001,Solapur Demonstration,4.5,30.3,42,synthetic
2024-02-03,SOL-DEMO-001,Solapur Demonstration,1.9,30.6,50,synthetic
2024-02-04,SOL-DEMO-001,Solapur Demonstration,0,30.9,51,synthetic
2024-02-05,SOL-DEMO-001,Solapur Demonstration,0,31.4,45,synthetic
2024-02-06,SOL-DEMO-001,Solapur Demonstration,6.0,32.2,48,synthetic
2024-02-07,SOL-DEMO-001,Solapur Demonstration,2.3,31.5,48,synthetic
2024-02-08,SOL-DEMO-001,Solapur Demonstration,0,27.9,44,synthetic
2024-02-09,SOL-DEMO-001,Solapur Demonstration,0,29.5,52,synthetic
2024-02-10,SOL-DEMO-001,Solapur Demonstration,5.5,31.2,45,synthetic
2024-02-11,SOL-DEMO-001,Solapur Demonstration,0,31.3,50,synthetic
2024-02-12,SOL-DEMO-001,Solapur Demonstration,2.9,30.7,50,synthetic
2024-02-13,SOL-DEMO-001,Solapur Demonstration,0,30.2,46,synthetic
2024-02-14,SOL-DEMO-001,Solapur Demonstration,0,29.8,43,synthetic
2024-02-15,SOL-DEMO-001,Solapur Demonstration,8.2,31.9,44,synthetic
2024-02-16,SOL-DEMO-001,Solapur Demonstration,0,29.3,58,synthetic
2024-02-17,SOL-DEMO-001,Solapur Demonstration,0,30.3,43,synthetic
2024-02-18,SOL-DEMO-001,Solapur Demonstration,3.3,31.6,47,synthetic
2024-02-19,SOL-DEMO-001,Solapur Demonstration,4.0,29.4,49,synthetic
2024-02-20,SOL-DEMO-001,Solapur Demonstration,4.0,32.6,41,synthetic
2024-02-21,SOL-DEMO-001,Solapur Demonstration,0,31.9,48,synthetic
2024-02-22,SOL-DEMO-001,Solapur Demonstration,9.4,29.5,50,synthetic
2024-02-23,SOL-DEMO-001,Solapur Demonstration,6.1,28.4,49,synthetic
2024-02-24,SOL-DEMO-001,Solapur Demonstration,0,30.6,42,synthetic
2024-02-25,SOL-DEMO-001,Solapur Demonstration,0,29.7,52,synthetic
2024-02-26,SOL-DEMO-001,Solapur Demonstration,1.4,32.2,49,synthetic
2024-02-27,SOL-DEMO-001,Solapur Demonstration,0,29.0,48,synthetic
2024-02-28,SOL-DEMO-001,Solapur Demonstration,0,31.7,44,synthetic
2024-02-29,SOL-DEMO-001,Solapur Demonstration,0,30.7,47,synthetic
2024-03-01,SOL-DEMO-001,Solapur Demonstration,15.7,32.5,51,synthetic
